	Datacenter	URL	IP v4 addresses	IP v6 range in DB
logo GloboTech Communications	GloboTech Communications	https://www.globo.tech/	25,600  	Yes
logo HostRoyale Technologies Pvt Ltd	HostRoyale Technologies Pvt Ltd	https://www.hostroyale.com/	25,600  	Yes
logo J2 Australia Hosting Pty Ltd	J2 Australia Hosting Pty Ltd	https://www.web24.com.au/	25,600  	 
logo Strong Technology, LLC	Strong Technology, LLC	https://strongtechnology.net/	25,088  	 
logo 23Media	23Media	http://www.23media.eu/	24,576  	 
logo Cybercon	Cybercon	http://www.cybercon.com/	24,576  	 
logo Hostirian	Hostirian	https://www.hostirian.com/	24,576  	 
logo KingHost Hospedagem de Sites Ltda.	KingHost Hospedagem de Sites Ltda.	https://www.kinghost.com.br/	24,576  	Yes
logo RackForce	RackForce	http://www.rockforce.com/	24,576  	 
logo Shinjiru Technology Sdn Bhd	Shinjiru Technology Sdn Bhd	https://www.shinjiru.com.my/	24,576  	 
logo CLARA ONLINE, Inc.	CLARA ONLINE, Inc.	https://www.clara.jp/	24,384  	 
logo JoeS Datacenter, LLC	JoeS Datacenter, LLC	https://joesdatacenter.com/	23,552  	 
logo Digital Network JSC	Digital Network JSC	http://www.di-net.ru/	23,296  	 
logo ZOMRO B.V.	ZOMRO B.V.	https://zomro.net/	22,782  	 
logo meerfarbig GmbH & Co. KG	meerfarbig GmbH & Co. KG	https://meerfarbig.io/	22,704  	 
logo Private Layer INC	Private Layer INC	https://privatelayer.com/	22,528  	Yes
logo Micron21	Micron21	http://www.micron21.com/	22,526  	 
logo Opera Software AS	Opera Software AS	http://www.operasoftware.com/	21,800  	Yes
logo Wow Technologies, Inc.	Wow Technologies, Inc.	http://wowrack.com/	21,760  	Yes
logo hostnet.nl	hostnet.nl	https://www.hostnet.nl/	21,504  	 
logo Marosnet	Marosnet	https://marosnet.ru/	20,992  	 
logo Mittwald	Mittwald	https://www.mittwald.de/	20,992  	 
logo Clouvider Ltd.	Clouvider Ltd.	https://www.clouvider.co.uk/	20,736  	 
logo Swiftway	Swiftway	https://www.swiftway.net/	20,592  	Yes
logo serverboost.nl	serverboost.nl	http://serverboost.nl/	20,544  	 
logo AIT	AIT	https://www.ait.com/	20,480  	 
logo ethr.net	ethr.net	http://ethr.net/	20,480  	 
logo Gearhost	Gearhost	http://www.gearhost.com/	20,480  	 
logo ReliableSite.Net LLC	ReliableSite.Net LLC	https://www.reliablesite.net/	20,480  	Yes
logo SunnyVision Limited.	SunnyVision Limited.	http://www.sunnyvision.com/	20,480  	 
logo DeltaHost	DeltaHost	https://deltahost.com/	20,224  	 
logo Trabia Network	Trabia Network	https://www.trabia.com/	20,224  	 
logo PCextreme B.V.	PCextreme B.V.	https://www.pcextreme.nl/	20,128  	Yes
logo Hqhost.net	Hqhost.net	http://hqhost.net/en/index.html	19,712  	 
logo colocall.net	colocall.net	http://colocall.net/	19,456  	 
logo Reg.ru	Reg.ru	https://www.reg.ru/	19,456  	 
logo Internet Cz, a.s	Internet Cz, a.s	https://www.forpsi.com/	19,264  	 
logo EZZI.net	EZZI.net	https://www.ezzi.net/	18,960  	 
logo Automattic, Inc.	Automattic, Inc.	https://automattic.com/	18,730  	 
logo mchost.ru	mchost.ru	https://mchost.ru/	18,688  	 
logo Dunkel GmbH	Dunkel GmbH	https://dunkel.de/	18,656  	 
logo awknet	awknet	http://awknet.com/	18,432  	 
